"ayto:foto";"ayto:numero";"ayto:parada";"ayto:sentido";"dc:identifier";"dc:modified";"gn:coordX";"gn:coordY";"id";"vivo:address1";"wgs84_pos:lat";"wgs84_pos:long"
"oracle.sql.BLOB@50bc5e21";"359";"Primero de Mayo";"Zoco";"327";"2014-04-14 12:20:01";"430736";"4810622";"http://datos.santander.es/api/datos/paradas_bus/327";"1º De Mayo";"43.443417288867636";"-3.8572711345686885"
"oracle.sql.BLOB@7ec7f1ef";"360";"Manuel Pombo Angulo 10";"Plaza de Las Estaciones";"328";"2014-04-14 12:20:01";"430521.3";"4810526";"http://datos.santander.es/api/datos/paradas_bus/328";"Manuel Pombo Angulo.10";"43.44253306048983";"-3.859911845454455"
"oracle.sql.BLOB@78dcc2ef";"361";"Ricardo Lopez Aranda 22";"Plaza de las Estaciones";"329";"2014-04-14 12:20:01";"430281";"4810355";"http://datos.santander.es/api/datos/paradas_bus/329";"Ricardo Lopez Aranda 22";"43.440971134579605";"-3.8628592063387575"
"oracle.sql.BLOB@658216e6";"362";"Primero de Mayo";"Plaza De Las Estaciones";"330";"2014-04-14 12:20:01";"430758.4";"4810625";"http://datos.santander.es/api/datos/paradas_bus/330";"1º De Mayo";"43.44344637216204";"-3.8569947294123788"
"oracle.sql.BLOB@3fad8a1a";"364";"Pedro San Martin 12";"El Castillo";"332";"2014-04-14 12:20:01";"433017.5";"4812496";"http://datos.santander.es/api/datos/paradas_bus/332";"Pedro San Martin.12";"43.46049742676821";"-3.829309916556864"
"oracle.sql.BLOB@1a45d19f";"365";"Caleruco";"El Castillo";"333";"2014-04-14 12:20:01";"432931.2";"4812663";"http://datos.santander.es/api/datos/paradas_bus/333";"Bajada del Caleruco";"43.461993260895234";"-3.8303971552134004"
"oracle.sql.BLOB@5dc52b32";"366";"Repuente 1";"El Castillo";"334";"2014-04-14 12:20:01";"433356";"4813520";"http://datos.santander.es/api/datos/paradas_bus/334";"Repuente 1";"43.46974716754878";"-3.8252513365149095"
"oracle.sql.BLOB@3b970fb6";"367";"Grupo Ateca";"El Castillo";"335";"2014-04-14 12:20:01";"433231.2";"4813520";"http://datos.santander.es/api/datos/paradas_bus/335";"C/ Repuente";"43.46973603122477";"-3.8267941122448526"
"oracle.sql.BLOB@3a88944a";"368";"Iglesia";"El Castillo";"336";"2014-04-14 12:20:01";"432935.9";"4813736";"http://datos.santander.es/api/datos/paradas_bus/336";"San Pedro Del Mar";"43.47165433081984";"-3.830471210400343"
"oracle.sql.BLOB@5cbfa44b";"369";"San Pedro Del Mar 64";"El Castillo";"337";"2014-04-14 12:20:01";"432879.4";"4813948";"http://datos.santander.es/api/datos/paradas_bus/337";"San Pedro Del Mar.64";"43.47355797817893";"-3.8311958230407477"
"oracle.sql.BLOB@29bb677f";"370";"Corbanera 93";"El Castillo";"347";"2014-04-14 12:20:01";"432849.37";"4814262.54";"http://datos.santander.es/api/datos/paradas_bus/347";"Corbanera. 93";"43.476387205513845";"-3.8316058807497093"
"oracle.sql.BLOB@4e87d840";"371";"El Castillo";"Puertochico";"348";"2014-04-14 12:20:01";"432603.51";"4814376.05";"http://datos.santander.es/api/datos/paradas_bus/348";"Corbanera";"43.47738704817455";"-3.8346595816347087"
"oracle.sql.BLOB@38867a07";"372";"Corbanera 162";"Puertochico";"349";"2014-04-14 12:20:01";"432490.2";"4814288";"http://datos.santander.es/api/datos/paradas_bus/349";"Corbanera. 162";"43.47658407449995";"-3.83604956950954"
